			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	thy|STEPS.STILL|with|EC|sta.sy|MOVE			2			1		1		
	thy|STEPS.STILL|with|EC|sta|SY|move			1		1		1	1		
	thy|STEPS|still.with|EC|sta|SY|move			1		2	1	1			
	thy.steps|STILL|with|EC|sta|SY|move			1		2	1	1			
	THY|steps|STILL|with|EC|sta|SY.MOVE			1		1		2	1		
	thy|STEPS.STILL|with|EC|sta|SY.MOVE			2				1	2		
Enough, that those dear sober glances retain	en|OUGH|that|THOSE|dear|SOB|er|GLA|nces.re|TAIN			1		1	1	1			
	en|OUGH|that.those|DEAR.SOB|er|GLA|nces.re|TAIN			3			2				
	en|OUGH|that|THOSE|dear|SOB|er|GLA|nces|RE|tain		1			2		2			1
	en|OUGH|that|THOSE|dear|SOB|er|GLA|nces|RE.TAIN			1		1		2	1		1
	en|OUGH|that|THOSE|dear|SOB|er|GLA.NCES|re|TAIN			1		1		2	1		1
	en|OUGH.THAT|those|DEAR.SOB|er|GLA|nces.re|TAIN			3			1		2		
	en|OUGH|that.those|DEAR.SOB|er|GLA|nces|RE|tain		1	2		1	1	1			1
	en|OUGH|that.those|DEAR.SOB|er|GLA|nces|RE.TAIN			3			1	1	1		1
	en|OUGH|that.those|DEAR.SOB|er|GLA.NCES|re|TAIN			3			1	1	1		1
	en|OUGH.THAT|those|DEAR.SOB|er|GLA|nces|RE|tain		1	2		1		1	2		1
	en|OUGH.THAT|those|DEAR.SOB|er|GLA|nces|RE.TAIN			3				1	3		1
	en|OUGH.THAT|those|DEAR.SOB|er|GLA.NCES|re|TAIN			3				1	3		1
For me the kind language of love.	for|ME|the.kind|LAN|guage.of|LOVE	2		2		1	1	1			
	for.me|THE|kind|LAN|guage.of|LOVE			2		1	1	1			
	FOR|me|THE|kind|LAN|guage.of|LOVE			1		1	1	2			
	FOR|me|THE|kind|LAN|guage|OF|love					2		3			
	for|ME|the|KIND|lan|GUAGE|of|LOVE		1			1		2			1
	for|ME|the|KIND.LAN|guage.of|LOVE			2			1	1	1		
	for|ME|the|KIND.LAN|guage|OF|love			1		1		2	1		
	for|ME|the.kind|LAN|guage|OF|love			1		2	1	2			
	for.me|THE|kind|LAN|guage|OF|love			1		2	1	2			
	FOR|me|THE|kind|LAN|guage|OF.LOVE			1		1		3	1		
	for|ME|the|KIND.LAN|guage|OF.LOVE			2				2	2		
O, my luve is like a red, red rose,	O|my|LUVE|is|LIKE|a|RED|red|ROSE	1				1		1			
	o.my|LUVE|is|LIKE|a|RED|red|ROSE	1		1		1	1				
	o.my|LUVE|is.like|A|red.red|ROSE			3		3		1			
That's newly sprung in June.	that's|NEW|ly|SPRUNG|in|JUNE	2									
O, my luve is like the melodie,	o.my|LUVE|is|LIKE|the|ME|lo|DIE	1	1	1		1	1	2			2
	O|my|LUVE|is|LIKE|the.me|LO|die			1			1	1			
	o.my|LUVE|is|LIKE|the.me|LO|die			2			2				
	o|MY|luve|IS|like|THE|me|LO|die					1		3			
	O|my|LUVE|is|LIKE|the|ME.LO|die			1				2	1		1
	o.my|LUVE|is|LIKE|the.me|LO.DIE			3			1	1			1
	o.my|LUVE|is|LIKE|the|ME.LO|die			2			1	1	1		1
	o.my|LUVE|is.like|THE|me.lo|DIE		1	3		1		2			1
That's sweetly play'd in tune.	that's|SWEET|ly|PLAY'D|in|TUNE	2									
As fair art thou, my bonie lass,	as|FAIR|art|THOU|my|BO|nie|LASS	2						1			
	as.fair|ART|thou.my|BO|nie|LASS			2		1	1				
	as|FAIR.ART|thou.my|BO|nie|LASS			2			1		1		
	as.fair|ART|thou.my|BO|nie.lass			3		2				1	
So deep in luve am I,	so|DEEP|in|LUVE|am|I	2									
And I will luve thee still, my dear,	and|I|will|LUVE|thee|STILL|my|DEAR	2									
Till a' the seas gang dry.	till|A|the|SEAS|gang|DRY	2				1		1			
Till a' the seas gang dry, my dear,	till|A|the|SEAS|gang|DRY|my|DEAR	2				1		1			
And the rocks melt wi' the sun!	and.the|ROCKS|melt|WI|the|SUN	1		1		1	1				
	and.the|ROCKS.MELT|wi.the|SUN	1		3		1					
	AND|the|ROCKS|melt|WI|the|SUN					1		1			
And I will luve thee still, my dear,	and|I|will|LUVE|thee|STILL|my|DEAR	2									
While the sands o' life shall run.	while.the|SANDS|o|LIFE|shall|RUN [*Bounded]	2		1			1				
	WHILE|the|SANDS|o|LIFE|shall|RUN										
And fare thee weel, my only luve,	and|FARE|thee|WEEL|my|ON|ly|LUVE	2									
And fare thee weel a while!	and|FARE|thee|WEEL|a|WHILE	2									
And I will come again, my luve,	and|I|will|COME|ag|AIN|my|LUVE	2									
Tho' it were ten thousand mile!	THO|it.were|TEN|thou.sand|MILE	1	1	2		1					
	THO|it|WERE|ten|THOU|sand|MILE					1		1			
	THO|it.were|TEN.THOU|sand|MILE			2			1				
	tho|IT|were|TEN.THOU|sand|MILE			1		1			1		
	tho|IT|were.ten|THOU|sand|MILE			1		2	1				
	THO.IT|were|TEN.THOU|sand|MILE			2					2		
	THO|it.were|TEN.THOU|sand.mile			3		1				1	
Pure spirit! O where art thou now!	pure|SPIR|it|O|where|ART|thou|NOW	2				1		1			
	PURE.SPIR|it|O|where|ART|thou|NOW			1				1	1		
	pure|SPIR|it.o|WHERE.ART|thou|NOW			2		1	1				
	pure|SPIR|it.o|WHERE|art.thou|NOW			2		1	1				
	PURE.SPIR|it.o|WHERE|art.thou|NOW			3					1		
O whisper to my soul!	o|WHIS|per|TO|my|SOUL	2						1			
O let some soothing thought of thee,	o|LET|some|SOOTH|ing|THOUGHT|of|THEE	2						1			
	o|LET|some|SOOTH|ing|THOUGHT|of.thee			1			1			1	
This bitter grief controul!	this|BIT|ter|GRIEF|con|TROUL	2	1			1		1			1
	this|BIT|ter|GRIEF.CON|troul			1					1		
	this|BIT|ter.grief|CON|troul			1		1	1				
'Tis not for thee the tears I shed,	tis|NOT|for|THEE|the|TEARS|i|SHED	2				1		1			
	TIS|not|FOR|thee.the|TEARS|i|SHED			1			1	1			
	TIS|not.for|THEE|the|TEARS|i|SHED			1			1	1			
	TIS.NOT|for|THEE|the|TEARS|i|SHED			1				1	1		
Thy sufferings now are o'er;	thy|SUF|ferings|NOW|are|O'ER	2			1			1			
	thy|SUF|fer.ings|NOW|are|O'ER			1			1	1			
	thy|SUF|fer|INGS|now|ARE|o'er					1		2			
	thy|SUF|fer.ings|NOW|are.o'er			2			1			1	
	thy|SUF|ferings|NOW|are.o'er			1	1		1			1	
The sea is calm, the tempest past,	the|SEA|is|CALM|the|TEM|pest|PAST	2									
On that eternal shore.	on|THAT|et|ER|nal|SHORE	2									
No more the storms that wrecked thy peace	no|MORE|the|STORMS|that|WRECKED|thy|PEACE	2				1					
	NO|more.the|STORMS|that|WRECKED|thy|PEACE			1			1				
	NO.MORE|the|STORMS|that|WRECKED|thy|PEACE			1					1		
Shall tear that gentle breast;	shall|TEAR|that|GEN|tle|BREAST	2									
Nor Summer's rage, nor Winter's cold,	nor|SUM|mer's|RAGE|nor|WIN|ter's|COLD	2									
Thy poor, poor frame molest.	thy|POOR|poor|FRAME|mo|LEST	2				1					
Thy peace is sealed, thy rest is sure,	thy|PEACE|is|SEALED|thy|REST|is|SURE	2									
My sorrows are to come;	my|SOR|rows|ARE|to|COME	2						1			
Awhile I weep and linger here,	aw|HILE|i|WEEP|and|LIN|ger|HERE	2									
Then follow to the tomb.	then|FOL|low|TO|the|TOMB	2						1			
And is the awful veil withdrawn,	and|IS|the|AW|ful|VEIL|with|DRAWN	2						1			
That shrouds from mortal eyes,	that|SHROUDS|from|MOR|tal|EYES	2									
In deep impenetrable gloom,	in|DEEP|im|PEN|e|TRA|ble|GLOOM	2						1			
The secrets of the skies?	the|SE|crets|OF|the|SKIES	2						1			
O, in some dream of visioned bliss,	o|IN|some|DREAM|of|VI|sioned|BLISS	1									
Some trance of rapture, show	some|TRANCE|of|RAP|ture|SHOW	2									
Where, on the bosom of thy God,	where|ON|the|BO|som|OF|thy|GOD	2						2			
	WHERE|on.the|BO|som|OF|thy|GOD			1			1	1			
	WHERE|on.the|BO|som.of|THY.GOD			3				1			
Thou rest'st from human woe!	thou|REST'ST|from|HU|man|WOE	2									
Thence may thy pure devotion's flame	THENCE|may.thy|PURE|de|VO|tion's|FLAME	2		1			1				
	thence|MAY|thy|PURE|de|VO|tion's|FLAME					1		1			
	THENCE|may.thy|PURE|de.vo|TION'S.FLAME		1	3		1		1			1
	THENCE|may.thy|PURE.DE|vo.tion's|FLAME		1	3		1		1			1
On me, on me descend;	on|ME|on|ME|de|SCEND	2						2			
	on.me|ON|me.de|SCEND			2				1			
To me thy strong aspiring hopes,	to|ME|thy|STRONG|as|PIR|ing|HOPES	2						1			
Thy faith, thy fervours lend.	thy|FAITH|thy|FER|vours|LEND	2									
Let these my lonely path illume,	let|THESE|my|LONE|ly|PATH|il|LUME	2				1		1			
	LET|these.my|LONE|ly|PATH|il|LUME			1			1				
	LET|these.my|LONE|ly.path|IL.LUME			3		1		1			1
	LET|these.my|LONE.LY|path.il|LUME			3		1		1			1
And teach my weakened mind	and|TEACH|my|WEAK|ened|MIND	2									
To welcome all that's left of good,	to|WEL|come|ALL|that's|LEFT|of|GOOD	2									
To all that's lost resigned.	to|ALL|that's|LOST|re|SIGNED	2									
Farewell! With honour, peace, and love,	far|EWELL|with|HON|our|PEACE|and|LOVE	2				1					
	FAR.EWELL|with|HON|our|PEACE|and|LOVE			1					1		1
Be thy dear memory blest!	be.thy|DEAR.MEM|o.ry|BLEST			3							
	BE|thy.dear|MEM|o.ry|BLEST			2		1					
	be|THY|dear|MEM|o.ry|BLEST			1		1	1	1			
	be|THY|dear|MEM|o|RY|blest					2		2			
	BE|thy|DEAR|mem|O|ry|BLEST		1			1		1			1
	BE|thy|DEAR.MEM|o.ry|BLEST			2			1		1		
	BE|thy|DEAR.MEM|o|RY|blest			1		1		1	1		
	BE|thy|DEAR.MEM|o|RY.BLEST			2				1	2		
Thou hast no tears for me to shed,	thou|HAST|no|TEARS|for|ME|to|SHED	2				1		1			
	thou.hast|NO.TEARS|for|ME|to|SHED			2			1	1			
	THOU|hast|NO.TEARS|for|ME|to|SHED			1				2	1		
	thou.hast|NO.TEARS|for.me|TO.SHED			4				1			
When I too am at rest.	when|I|too|AM|at|REST [*Bounded]	2				1		1			
	WHEN|i|TOO|am|AT|rest					1					
	WHEN|i|TOO|am.at|REST			1			1				
	when.i|TOO|am.at|REST			2							
	WHEN|i|TOO|am|AT.REST			1					1		
Happy the man, whose wish and care	HAP|py.the|MAN|whose|WISH|and|CARE	2		1			1				
	HAP|py.the|MAN.WHOSE|wish.and|CARE			3		1					
	hap|PY|the|MAN|whose|WISH|and|CARE		1			1		1			1
	HAP|py|THE|man|WHOSE|wish|AND|care					3		2			
	HAP|py|THE|man|WHOSE|wish|AND.CARE			1		2		2	1		
A few paternal acres bound,	a|FEW|pa|TER|nal|ACR|es|BOUND	2									
Content to breathe his native air,	con|TENT|to|BREATHE|his|NA|tive|AIR	2									
In his own ground.	in|HIS|own|GROUND	2						1			
	IN|his.own|GROUND			1							
	IN|his|OWN|ground					1					
Whose herds with milk, whose fields with bread,	whose|HERDS|with|MILK|whose|FIELDS|with|BREAD	2									
Whose flocks supply him with attire,	whose|FLOCKS|sup|PLY|him|WITH|at|TIRE [*Bounded]	2			1			1			
	whose|FLOCKS|sup|PLY|him|WITH|at|TI|re							1			
Whose trees in summer yield him shade,	whose|TREES|in|SUM|mer|YIELD|him|SHADE	2									
In winter fire.	in|WIN|ter|FIRE [*Bounded]	2			1						
	in|WIN|ter|FI|re										
Blest, who can unconcern'dly find,	BLEST|who.can|UN|con|CERN'D|ly|FIND	2		1			1	1			
	blest|WHO|can|UN|con|CERN'D|ly|FIND					1		1			
	BLEST|who|CAN|un.con|CERN'D|ly|FIND			1			1	1			
	BLEST.WHO|can|UN|con|CERN'D|ly|FIND			1				1	1		
Hours, days and years slide soft away,	hours|DAYS|and|YEARS|slide|SOFT|aw|AY [*Bounded]	1			1	2					
	HO|urs|DAYS|and|YEARS|slide|SOFT|aw|AY					1					
	HO|urs|DAYS|and.years|SLIDE.SOFT|aw|AY			2			1				
In health of body, peace of mind,	in|HEALTH|of|BO|dy|PEACE|of|MIND	2									
Quiet by day,	QUI|et.by|DAY	2		1							
	QUI|et|BY|day					1		1			
Sound sleep by night; study and ease,	sound|SLEEP|by|NIGHT.STU|dy.and|EASE	2		2		1	1		1		
	sound|SLEEP|by.night|STU|dy.and|EASE			2		2	1				
	SOUND|sleep|BY|night|STU|dy.and|EASE			1		2	1	1			
	SOUND|sleep|BY|night|STU|dy|AND|ease					3		2			
	sound|SLEEP|by|NIGHT|stu|DY|and|EASE		1			2		1			1
	SOUND.SLEEP|by.night|STU|dy.and|EASE			3		1			1		
	sound|SLEEP|by|NIGHT.STU|dy|AND|ease			1		2		1	1		
	sound|SLEEP|by.night|STU|dy|AND|ease			1		3	1	1			
	SOUND|sleep|BY|night|STU|dy|AND.EASE			1		2		2	1		
	SOUND.SLEEP|by|NIGHT|stu|DY|and|EASE		1	1		1		1	1		1
	SOUND.SLEEP|by|NIGHT.STU|dy.and|EASE			3			1		2		
	SOUND.SLEEP|by|NIGHT.STU|dy|AND|ease			2		1		1	2		
	sound|SLEEP|by|NIGHT.STU|dy|AND.EASE			2		1		1	2		
	SOUND.SLEEP|by.night|STU|dy|AND|ease			2		2	1	1	1		
	SOUND.SLEEP|by|NIGHT.STU|dy|AND.EASE			3				1	3		
Together mixt; sweet recreation;	to|GETH|er|MIXT|sweet|RE|cr|EA|tion	2				1					
And innocence which most does please,	and|IN|no|CENCE|which|MOST|does|PLEASE	2						1			
	and|IN|no.cence|WHICH.MOST|does|PLEASE			2			1				
	and|IN|no.cence|WHICH|most.does|PLEASE			2			1				
	and|IN|no.cence|WHICH|most|DOES|please			1		1	1				
With meditation.	with|MED|i|TA|tion	2									
Thus let me live, unseen, unknown,	thus|LET|me|LIVE|un|SEEN|un|KNOWN	1				1					
	THUS.LET|me|LIVE|un|SEEN|un|KNOWN			1					1		
Thus unlamented let me die,	THUS|un.la|MENT|ed|LET|me|DIE	1		1			1				
	thus|UN|la|MENT|ed|LET|me|DIE	1				1		1			
	THUS|un.la|MENT|ed.let|ME.DIE			3		1		1			
Steal from the world, and not a stone	STEAL|from.the|WORLD|and|NOT|a|STONE	2		1			1				
	steal|FROM|the|WORLD|and|NOT|a|STONE					1		1			
	STEAL|from.the|WORLD|and.not|A.STONE			3				1			
	STEAL|from.the|WORLD.AND|not.a|STONE			3				1			
Tell where I lie.	TELL|where.i|LIE	1		1							
	tell|WHERE|i|LIE	1				1					
	TELL|where|I|lie					1					
A poet's Cat, sedate and grave	a|POE|t's|CAT|se|DATE|and|GRAVE	2									
As poet well could wish to have,	as|PO|et|WELL|could|WISH|to|HAVE	2									
Was much addicted to inquire	was|MUCH|ad|DICT|ed|TO|in|QUIRE	2						1			
For nooks to which she might retire,	for|NOOKS|to|WHICH|she|MIGHT|re|TIRE	2									
And where, secure as mouse in chink,	and|WHERE|se|CURE|as|MOUSE|in|CHINK	2									
She might repose, or sit and think.	she|MIGHT|re|POSE|or|SIT|and|THINK	2									
I know not where she caught the trick,	i|KNOW|not|WHERE|she|CAUGHT|the|TRICK	2									
Nature perhaps herself had cast her	NA|ture.per|HAPS|her|SELF|had|CAST|her	2		1			1				
	na|TURE|per|HAPS|her|SELF|had|CAST|her		1			1		1			1
	NA|ture.per|HAPS|her.self|HAD|cast.her		1	3		2				1	
In such a mould philosophique,	in|SUCH|a|MOULD|ph|IL|os|OPHIQUE	2						1			
	IN|such.a|MOULD|ph|IL|os|OPHIQUE			1			1				
Or else she learn'd it of her Master.	or|ELSE|she|LEARN'D|it|OF|her|MAS|ter	2						1			
	or|ELSE|she|LEARN'D.IT|of.her|MAS|ter			2			1		1		
	or|ELSE|she.learn'd|IT|of.her|MAS|ter			2		1	2				
Sometimes ascending, debonnair,	some|TIMES|as|CEND|ing|DE|bo|NNAIR	1									
An apple-tree, or lofty pear,	an|AP|ple|TREE|or|LOF|ty|PEAR	2									
Lodged with convenience in the fork,	LODGED|with.con|VE|nience|IN|the|FORK	2		1			1				
	lodged|WITH|con|VE|nience|IN|the|FORK					1		1			
	LODGED|with.con|VE|nience.in|THE.FORK			3				1			
She watch'd the gardener at his work;	she|WATCH'D|the|GAR|dener|AT|his|WORK	2			1						
	she|WATCH'D|the|GAR|den.er|AT|his|WORK			1			1				
	she|WATCH'D|the|GAR|den|ER|at|HIS|work					1		2			
	she|WATCH'D|the|GAR|den|ER|at|HIS.WORK			1				2	1		
Sometimes her ease and solace sought	some|TIMES|her|EASE|and|SO|lace|SOUGHT	1									
In an old empty watering-pot,	in.an|OLD.EMP|ty|WAT|ering|POT	2		2	1		1				
	in|AN|old|EMP|ty|WAT|ering|POT				1	1		1			
	IN|an|OLD.EMP|ty|WAT|ering|POT			1	1				1		
	in.an|OLD.EMP|ty|WA|ter.ing|POT			3			1				
	IN|an.old|EMP|ty|WA|ter.ing|POT			2		1	1				
	IN|an.old|EMP|ty|WAT|ering|POT			1	1	1	1				
	in|AN|old|EMP|ty|WA|ter.ing|POT			1		1	1	1			
	in|AN|old|EMP|ty|WA|ter|ING|pot					2		2			
	IN|an|OLD.EMP|ty|WA|ter.ing|POT			2			1		1		
	IN|an|OLD.EMP|ty|WA|ter|ING|pot			1		1		1	1		
	IN|an|OLD.EMP|ty|WA|ter|ING.POT			2				1	2		
	in.an|OLD.EMP|ty.wat|ERING.POT		1	4	1	1		1			1
	in.an|OLD.EMP|ty.wa|TER|ing.pot		1	4		2		1		1	1
	IN|an.old|EMP|ty.wa|TER|ing.pot		1	3		3		1		1	1
There wanting nothing, save a fan,	there|WANT|ing|NOTH|ing|SAVE|a|FAN	2									
To seem some nymph in her sedan	to|SEEM|some|NYMPH|in|HER|se|DAN	2						1			
	to|SEEM|some.nymph|IN|her.se|DAN			2		1	1				
	to|SEEM|some|NYMPH.IN|her.se|DAN			2			1		1		
Apparell'd in exactest sort,	ap|PA|rell'd|IN|ex|AC|test|SORT	2	1			1		1			1
	AP|pa.rell'd|IN|ex|AC|test|SORT			1			1				
	AP|pa.rell'd|IN|ex.ac|TEST.SORT		1	3		1		1			1
	AP|pa.rell'd|IN.EX|ac.test|SORT		1	3		1		1			1
And ready to be borne to court.	and|RE|ady|TO|be|BORNE|to|COURT	2						1			
	and|RE|ady.to|BE.BORNE|to|COURT			2			1				
But love of change it seems has place	but|LOVE|of|CHANGE|it|SEEMS|has|PLACE	2									
Not only in our wiser race,	not|ON|ly|IN|our|WIS|er|RACE	2									
Cats also feel, as well as we,	cats|AL|so|FEEL|as|WELL|as|WE	1				1					
	CATS.AL|so|FEEL|as|WELL|as|WE			1					1		
That passion's force, and so did she.	that|PAS|sion's|FORCE|and|SO|did|SHE	2						1			
	that|PAS|sion's|FORCE|and.so|DID|she			1			1				
Her climbing, she began to find,	her|CLIMB|ing|SHE|be|GAN|to|FIND	2									
Exposed her too much to the wind,	ex|POSED|her|TOO|much|TO|the|WIND	2						1			
	ex|POSED|her.too|MUCH|to.the|WIND			2		1	1				
	ex|POSED|her|TOO.MUCH|to.the|WIND			2			1		1		
And the old utensil of tin	and.the|OLD|ut|EN|sil.of|TIN	2		2			1				
	AND|the|OLD|ut|EN|sil.of|TIN			1			1	1			
	AND|the|OLD|ut|EN|sil|OF|tin					1		2			
	and.the|OLD|ut|EN|sil|OF|tin			1		1	1	1			
	AND|the|OLD|ut|EN|sil|OF.TIN			1				2	1		
	and.the|OLD|ut.en|SIL|of.tin		1	3		2		1		1	1
Was cold and comfortless within:	was|COLD|and|COM|fort|LESS|with|IN	2						1			
She therefore wish'd instead of those	she|THERE|fore|WISH'D|in|STEAD|of|THOSE	2				1		1			
	she|THERE|fore|WISH'D|in|STEAD|of.those			1		1	1			1	
Some place of more serene repose,	some|PLACE|of|MORE|ser|ENE|re|POSE	2									
Where neither cold might come, nor air	where|NEI|ther|COLD|might|COME|nor|AIR	2									
Too rudely wanton with her hair,	too|RUDE|ly|WAN|ton|WITH|her|HAIR	2				1		1			
	TOO.RUDE|ly|WAN|ton|WITH|her|HAIR			1				1	1		
And sought it in the likeliest mode	and|SOUGHT|it|IN|the|LIKE|liest|MODE	2			1						
	and|SOUGHT|it|IN|the|LIKE|li.est|MODE			1			1				
	and|SOUGHT|it|IN|the|LIKE|li|EST|mode					1		1			
	and|SOUGHT|it|IN|the|LIKE|li|EST.MODE			1				1	1		
	and.sought|IT|in.the|LIKE|li.est|MODE			3		1					
Within her master's snug abode.	with|IN|her|MAS|ter's|SNUG|ab|ODE	2									
A drawer, it chanced, at bottom lined	a|DRAWER|it|CHANCED|at|BOT|tom|LINED	2									
With linen of the softest kind,	with|LI|nen|OF|the|SOFT|est|KIND	2						1			
With such as merchants introduce	with|SUCH|as|MER|chants|IN|tro|DUCE	2						1			
From India, for the ladies' use,	from|IN|dia|FOR|the|LAD|ies|USE	2			1			1			
	from|IN|di|A|for.the|LAD|ies|USE			1			1	1			
	from|IN|di.a|FOR|the|LAD|ies|USE			1			1	1			
	FROM|in|DI|a|FOR|the|LAD|ies|USE		1			1		3			1
A drawer impending o'er the rest,	a|DRAWER|im|PEND|ing|O'ER|the|REST	2						1			
Half open in the topmost chest,	half|OP|en|IN|the|TOP|most|CHEST	2				1					
	HALF.OP|en|IN|the|TOP|most|CHEST			1					1		
Of depth enough, and none to spare,	of|DEPTH|en|OUGH|and|NONE|to|SPARE	2									
Invited her to slumber there;	in|VIT|ed|HER|to|SLUM|ber|THERE	2						2			
	in|VIT|ed|HER|to|SLUM|ber.there			1			1	1		1	
Puss with delight beyond expression	PUSS|with.de|LIGHT|be|YOND|ex|PRES|sion	1		1			1				
	puss|WITH|de|LIGHT|be|YOND|ex|PRES|sion	1				1		1			
Survey'd the scene and took possession.	sur|VEY'D|the|SCENE|and|TOOK|pos|SES|sion	2									
Recumbent at her ease ere long,	re|CUM|bent|AT|her|EASE|ere|LONG	2				1					
And lull'd by her own humdrum song,	and|LULL'D|by|HER|own|HUM|drum|SONG	2				1		1			
	and|LULL'D|by.her|OWN.HUM|drum|SONG			2		1	1				
	and|LULL'D|by.her|OWN|hum|DRUM|song		1	1		2	1				1
She left the cares of life behind,	she|LEFT|the|CARES|of|LIFE|be|HIND	2									
And slept as she would sleep her last,	and|SLEPT|as|SHE|would|SLEEP|her|LAST	2									
When in came, housewifely inclined,	when|IN|came|HOUSE|wife|LY|in|CLINED	1				1		1			
	WHEN|in|CAME.HOUSE|wife|LY|in|CLINED			1				1	1		
	when.in|CAME.HOUSE|wife|LY|in|CLINED			2			1	1			
	when.in|CAME.HOUSE|wife.ly|IN.CLINED			4				1			1
The chambermaid, and shut it fast,	the|CHAM|ber|MAID|and|SHUT|it|FAST	2									
By no malignity impell'd,	by|NO|ma|LIG|ni|TY|im|PELL'D	2						1			
But all unconscious whom it held.	but|ALL|un|CON|scious|WHOM|it|HELD	2				1					
	but.all|UN.CON|scious|WHOM|it|HELD			2			1				1
	BUT|all|UN.CON|scious|WHOM|it|HELD			1				1	1		1
	but.all|UN.CON|scious.whom|IT.HELD			4							1
Awaken'd by the shock, cried Puss,	aw|AK|en'd|BY|the|SHOCK|cried|PUSS	2				1		1			
“Was ever cat attended thus!	was|EV|er|CAT|at|TEND|ed|THUS	2									
The open drawer was left, I see,	the|OP|en|DRAWER|was|LEFT|i|SEE	2									
Merely to prove a nest for me,	MERE|ly.to|PROVE|a|NEST|for|ME	2		1			1	1			
	MERE|ly.to|PROVE|a|NEST|for.me			2			1			1	
	MERE|ly|TO|prove|A|nest|FOR|me					2		3			
	mere|LY|to|PROVE|a|NEST|for|ME		1			1		2			1
	MERE|ly.to|PROVE|a.nest|FOR.ME			3		1		2			
	MERE|ly.to|PROVE.A|nest.for|ME			3		1		2			
	mere|LY|to|PROVE|a|NEST|for.me		1	1		1	1	1		1	1
For soon as I was well composed	for|SOON|as|I|was|WELL|com|POSED	2									
Then came the maid, and it was closed.	then|CAME|the|MAID|and|IT|was|CLOSED	2									
How smooth these 'kerchiefs and how sweet!	how|SMOOTH|these|KER|chiefs|AND|how|SWEET	2						1			
Oh what a delicate retreat!	oh|WHAT|a|DEL|i|CATE|re|TREAT	2				1		1			
	OH|what.a|DEL|i|CATE|re|TREAT			1			1	1			
	OH.WHAT|a|DEL|i|CATE|re|TREAT			1				1	1		
	OH|what.a|DEL|i.cate|RE.TREAT			3				1			1
	OH|what.a|DEL.I|cate.re|TREAT			3				1			1
I will resign myself to rest	i|WILL|re|SIGN|my|SELF|to|REST	2				1		1			
	I|will.re|SIGN|my|SELF|to|REST			1		1	1				
	I|will.re|SIGN.MY|self.to|REST		1	3		1					1
Till Sol declining in the west	till|SOL|de|CLIN|ing|IN|the|WEST	2									
Shall call to supper, when, no doubt,	shall|CALL|to|SUP|per|WHEN|no|DOUBT	2				1					
	shall|CALL|to|SUP|per.when|NO.DOUBT			2			1				
Susan will come and let me out.”	SU|san.will|COME|and|LET|me|OUT	2		1			1	1			
	SU|san.will|COME|and|LET|me.out			2			1			1	
	SU|san|WILL|come|AND|let|ME|out					2		3			
	su|SAN|will|COME|and|LET|me|OUT		1			1		2			1
	SU|san.will|COME|and.let|ME.OUT			3		1		2			
	SU|san.will|COME.AND|let.me|OUT			3		1		2			
	su|SAN|will|COME|and|LET|me.out		1	1		1	1	1		1	1
The evening came, the sun descended,	the|EVE|ning|CAME|the|SUN|de|SCEND|ed	1									
And puss remain'd still unattended.	and|PUSS|re|MAIN'D|still|UN|at|TE|nded	1				1		1			
	and|PUSS|re|MAIN'D.STILL|un.at|TE|nded			2			1		1		
	and|PUSS|re.main'd|STILL|un.at|TE|nded		1	2		1	2				
	and|PUSS|re|MAIN'D.STILL|un|AT.TE|nded			2				1	2		1
	and|PUSS|re.main'd|STILL|un.at|TE.NDED		1	3		1	1	1			1
The night roll'd tardily away,	the|NIGHT|roll'd|TA|rd|ILY|aw|AY	2				1		1			
(With her indeed 'twas never day;)	with|HER|in|DEED|twas|NEV|er|DAY	2				1		1			
The sprightly morn her course renew'd,	the|SPRIGHT|ly|MORN|her|COURSE|re|NEW'D	2									
The evening grey again ensued,	the|EVE|ning|GREY|ag|AIN|en|SUED	2									
And puss came into mind no more	and|PUSS|came|IN|to|MIND|no|MORE	2				2					
	and|PUSS.CAME|in|TO|mind|NO|more			1		1			1		
	and|PUSS|came|IN|to|MIND.NO|more			1		1			1		
	and.puss|CAME|in.to|MIND.NO|more			3		1	1				
	and|PUSS.CAME|in.to|MIND.NO|more			3			1		1		
Than if entomb'd the day before.	than|IF|en|TOMB'D|the|DAY|be|FORE	2						1			
With hunger pinch'd, and pinch'd for room,	with|HUN|ger|PINCH'D|and|PINCH'D|for|ROOM	2									
She now presaged approaching doom,	she|NOW|pre|SAGED|ap|PROACH|ing|DOOM	2	1			1		1			1
	SHE|now|PRE|saged.ap|PROACH|ing|DOOM			1		1	1				
	she|NOW.PRE|saged.ap|PROACH|ing|DOOM			2			1		1		
	she.now|PRE|saged.ap|PROACH|ing.doom			3		2				1	
Nor slept a single wink or purr'd,	nor|SLEPT|a|SIN|gle|WINK|or|PURR'D	2									
Conscious of jeopardy incurr'd.	CON|scious.of|JE|op|ARDY|in|CURR'D	2		1			1	1			
	CON|scious.of|JE|op.ardy|IN.CURR'D			3				1			1
	CON|scious.of|JE.OP|ardy.in|CURR'D			3				1			1
	con|SCIOUS|of|JE|op|ARDY|in|CURR'D		1			1		2			1
