			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
	with.the|MAID|of.his|BO.SOM*|de|LIGHT|ed.to*|ROAM				1	1	
	with.the|MAID|of.his|BO.SOM*|de|LIGHT|ed|TO*|roam*					2	1
	with.the|MAID|of.his|BO|som.de*|LIGHT|ed|TO*|roam*				1	1	1
	with.the|MAID|of.his|BO.SOM*|de|LIGHT.ED*|to|ROAM			1		2	
	with.the|MAID|of.his|BO|som.de*|LIGHT.ED*|to|ROAM			1	1	1	
When eager the joys of his cottage to share,	when|EA|ger.the*|JOYS|of.his|COT|tage.to*|SHARE	2			2		
	when|EA|ger.the*|JOYS|of.his|COT.TAGE*|to|SHARE				1	1	
	when|EA.GER*|the|JOYS|of.his|COT.TAGE*|to|SHARE			1		2	
	when|EA.GER*|the|JOYS|of.his|COT|tage.to*|SHARE			1	1	1	
	when|EA|ger|THE*|joys*|OF*|his|COT.TAGE*|to|SHARE					3	1
	WHEN|ea*|GER*|the|JOYS|of.his|COT.TAGE*|to|SHARE		1			2	1
The labourer wearied, thinks long for his home.	the|LABOURER.WEA*|ried|THINKS.LONG*|for.his|HOME				2		
	the|LABOURER.WEA*|ried|THINKS|long*|FOR*|his|HOME				1	1	1
	THE*|labourer*|WEA|ried|THINKS.LONG*|for.his|HOME				1	1	1
	the|LABOURER|wea.ried*|THINKS.LONG*|for.his|HOME		1		1		1
	THE*|labourer*|WEA|ried|THINKS|long*|FOR*|his|HOME					2	2
	THE*|labourer*|WEA.RIED*|thinks*|LONG|for.his|HOME					2	2
	the|LABOURER|wea*|RIED*|thinks*|LONG|for.his|HOME		1			1	2
	the|LABOURER|wea.ried*|THINKS|long*|FOR*|his|HOME		1			1	2
Now wrapt up in mist is the mountain's steep brow;	now*|WRAPT|up.in|MIST|is.the|MOUN|tain's.steep*|BROW [*Bounded]	2			1		2
	now*|WRAPT|up.in|MIST|is.the|MOUN|tain's|STEEP|brow*						2
	NOW.WRAPT*|up.in|MIST|is.the|MOUN|tain's|STEEP|brow*				1		1
	now*|WRAPT|up.in|MIST|is.the|MOUN|tain's|STEEP.BROW*				1		1
	NOW.WRAPT*|up.in|MIST|is.the|MOUN|tain's|STEEP.BROW*				2		
No longer the din of the village is heard;	no*|LON|ger.the*|DIN|of.the|VIL|lage.is*|HEARD	2			2		1
	no*|LON|ger.the*|DIN|of.the|VIL|lage|IS|heard*				1		2
	no*|LON|ger.the*|DIN|of.the|VIL.LAGE*|is|HEARD				1	1	1
	NO.LON*|ger.the*|DIN|of.the|VIL|lage|IS|heard*				2		1
	no*|LON|ger.the*|DIN|of.the|VIL|lage|IS.HEARD*				2		1
	NO.LON*|ger.the*|DIN|of.the|VIL.LAGE*|is|HEARD				2	1	
	NO.LON*|ger.the*|DIN|of.the|VIL|lage|IS.HEARD*				3		
	NO.LON*|ger.the*|DIN|of.the|VIL|lage.is*|HEARD				3		
	no*|LON.GER*|the|DIN|of.the|VIL|lage|IS|heard*			1		1	2
	no*|LON.GER*|the|DIN|of.the|VIL.LAGE*|is|HEARD			1		2	1
	no*|LON.GER*|the|DIN|of.the|VIL|lage.is*|HEARD			1	1	1	1
	NO|lon*|GER*|the|DIN|of.the|VIL|lage|IS|heard*		1			1	2
	NO|lon*|GER*|the|DIN|of.the|VIL.LAGE*|is|HEARD		1			2	1
	NO|lon*|GER*|the|DIN|of.the|VIL|lage.is*|HEARD		1		1	1	1
	no*|LON|ger|THE*|din*|OF*|the|VIL|lage|IS|heard*					2	3
	no*|LON|ger|THE*|din*|OF*|the|VIL.LAGE*|is|HEARD					3	2
	NO.LON*|ger|THE*|din*|OF*|the|VIL.LAGE*|is|HEARD				1	3	1
Now lost is the landscape, late beauteous to view;	now*|LOST|is.the|LAND|scape.late*|BEAU|teous.to*|VIEW	2			2		2
	NOW|lost*|IS|the|LAND|scape*|LATE.BE*|au|TEOUS*|to|VIEW				1	1	2
	NOW|lost*|IS|the|LAND|scape.late*|BE|au|TEOUS*|to|VIEW				1	1	2
	NOW|lost*|IS|the|LAND.SCAPE*|late*|BE|au|TEOUS*|to|VIEW			1		1	2
	now*|LOST|is.the|LAND|scape*|LATE.BE*|au|TEOUS*|to|VIEW				1	1	2
	now*|LOST|is.the|LAND|scape.late*|BE|au|TEOUS*|to|VIEW				1	1	2
	now*|LOST|is.the|LAND.SCAPE*|late*|BE|au|TEOUS*|to|VIEW			1		1	2
	NOW|lost*|IS|the|LAND|scape*|LATE.BEAU*|teous.to*|VIEW				2		2
	NOW|lost*|IS|the|LAND|scape.late*|BEAU|teous.to*|VIEW				2		2
	NOW|lost*|IS|the|LAND.SCAPE*|late*|BEAU|teous.to*|VIEW			1	1		2
	NOW.LOST*|is.the|LAND|scape*|LATE.BE*|au|TEOUS*|to|VIEW				2	1	1
	NOW.LOST*|is.the|LAND|scape.late*|BE|au|TEOUS*|to|VIEW				2	1	1
	NOW.LOST*|is.the|LAND.SCAPE*|late*|BE|au|TEOUS*|to|VIEW			1	1	1	1
	now*|LOST|is.the|LAND|scape*|LATE.BEAU*|teous.to*|VIEW				2		2
	now*|LOST|is.the|LAND.SCAPE*|late*|BEAU|teous.to*|VIEW			1	1		2
	NOW.LOST*|is.the|LAND|scape*|LATE.BEAU*|teous.to*|VIEW				3		1
	NOW.LOST*|is.the|LAND|scape.late*|BEAU|teous.to*|VIEW				3		1
	NOW.LOST*|is.the|LAND.SCAPE*|late*|BEAU|teous.to*|VIEW			1	2		1
	NOW|lost*|IS|the|LAND|scape*|LATE|beau*|TEOUS*|to|VIEW		1			1	3
	now*|LOST|is.the|LAND|scape*|LATE|beau*|TEOUS*|to|VIEW		1			1	3
No sound strikes the ear, save one sorrowful bird:	NO|sound*|STRIKES|the|EAR.SAVE*|one|SOR.ROW*|ful|BIRD				1	1	1
	NO|sound*|STRIKES|the|EAR.SAVE*|one|SOR|row.ful*|BIRD			1	1		1
	no*|SOUND|strikes*|THE*|ear*|SAVE|one|SOR.ROW*|ful|BIRD					2	3
	no*|SOUND|strikes*|THE*|ear*|SAVE|one|SOR|row.ful*|BIRD			1		1	3
'Tis the partridge's wail, for his far-distant mate	TIS|the|PAR|tri.dge's*|WAIL|for.his|FAR.DIS*|tant|MATE			1	1		
	TIS|the|PAR|tri.dge's*|WAIL|for|HIS*|far*|DIS|tant|MATE			1		1	1
	TIS|the|PAR|tri|DGE'S.WAIL*|for.his|FAR.DIS*|tant|MATE				2	1	
	TIS|the|PAR|tri.dge's*|WAIL|for.his|FAR|dis.tant*|MATE		1	1			1
	TIS|the|PAR|tri|DGE'S*|wail*|FOR*|his|FAR.DIS*|tant|MATE				1	2	1
	TIS|the|PAR|tri|DGE'S.WAIL*|for|HIS*|far*|DIS|tant|MATE				1	2	1
	TIS|the|PAR|tri|DGE'S.WAIL*|for.his|FAR|dis.tant*|MATE		1		1	1	1
	TIS|the|PAR|tri|DGE'S*|wail*|FOR*|his|FAR|dis.tant*|MATE		1			2	2
Let man learn affection from each feather'd pair,	LET|man*|LEARN|af|FEC|tion|FROM*|each|FEATH|er'd|PAIR					1	1
	LET|man*|LEARN|af|FEC|tion.from*|EACH.FEATH*|er'd|PAIR				2		1
	LET|man*|LEARN|af|FEC|tion.from*|EACH|feath.er'd*|PAIR		1		1		2
And reflect on the days he has spent, ere too late;	and.re*|FLECT|on.the|DAYS|he.has|SPENT|ere.too*|LATE	2			2		1
	AND*|re|FLECT|on.the|DAYS|he|HAS|spent*|ERE|too*|LATE					1	2
	AND*|re|FLECT|on.the|DAYS|he.has|SPENT|ere*|TOO|late*					1	2
	and.re*|FLECT|on.the|DAYS|he|HAS|spent*|ERE|too*|LATE				1		2
	AND*|re|FLECT|on.the|DAYS|he.has|SPENT|ere*|TOO.LATE*				1	1	1
	AND*|re|FLECT|on.the|DAYS|he.has|SPENT|ere.too*|LATE				1	1	1
	AND*|re|FLECT|on.the|DAYS|he.has|SPENT.ERE*|too*|LATE				1	1	1
	and.re*|FLECT|on.the|DAYS|he.has|SPENT|ere*|TOO|late*				1		2
	and.re*|FLECT|on.the|DAYS|he.has|SPENT|ere*|TOO.LATE*				2		1
	and.re*|FLECT|on.the|DAYS|he.has|SPENT.ERE*|too*|LATE				2		1
Still thankful, midst sorrows, for blessings that were.	still*|THANK|ful|MIDST.SOR*|rows.for*|BLESS|ings|THAT|were				2		1
	STILL.THANK*|ful|MIDST.SOR*|rows.for*|BLESS|ings|THAT|were				3		
	still*|THANK|ful.midst*|SOR.ROWS*|for|BLESS|ings|THAT|were				1	1	2
	STILL.THANK*|ful.midst*|SOR.ROWS*|for|BLESS|ings|THAT|were				2	1	1
	still*|THANK|ful|MIDST|sor*|ROWS*|for|BLESS|ings|THAT|were		1			1	2
	STILL.THANK*|ful|MIDST|sor*|ROWS*|for|BLESS|ings|THAT|were		1		1	1	1
	still*|THANK.FUL*|midst*|SOR.ROWS*|for|BLESS|ings|THAT|were			1		2	2
	still*|THANK.FUL*|midst*|SOR|rows.for*|BLESS|ings|THAT|were			1	1	1	2
In life's rosy morn, full of frolic and joy,	IN|life's*|ROS|y|MORN.FULL*|of|FROL.IC*|and|JOY				1	1	1
	IN|life's*|ROS|y|MORN.FULL*|of|FROL|ic.and*|JOY				2		1
	in|LIFE'S.ROS*|y|MORN.FULL*|of|FROL.IC*|and|JOY				2	1	
	in|LIFE'S.ROS*|y|MORN.FULL*|of|FROL|ic.and*|JOY				3		
	IN|life's*|ROS.Y*|morn*|FULL|of|FROL.IC*|and|JOY			1		2	2
	IN|life's*|ROS.Y*|morn*|FULL|of|FROL|ic.and*|JOY			1	1	1	2
	in|LIFE'S|ros*|Y*|morn*|FULL|of|FROL.IC*|and|JOY		1			2	2
Light-hearted, in quest of new pleasures we fly,	light*|HEART|ed.in*|QUEST|of|NEW.PLEA*|sures|WE|fly*				2		2
	light*|HEART|ed|IN.QUEST*|of|NEW.PLEA*|sures|WE|fly*				2		2
	LIGHT.HEART*|ed.in*|QUEST|of|NEW.PLEA*|sures|WE|fly*				3		1
	light*|HEART|ed.in*|QUEST|of|NEW.PLEA*|sures|WE.FLY*				3		1
	light*|HEART|ed.in*|QUEST|of|NEW.PLEA*|sures.we*|FLY				3		1
	LIGHT.HEART*|ed|IN.QUEST*|of|NEW.PLEA*|sures|WE|fly*				3		1
	light*|HEART|ed|IN.QUEST*|of|NEW.PLEA*|sures|WE.FLY*				3		1
	light*|HEART|ed|IN.QUEST*|of|NEW.PLEA*|sures.we*|FLY				3		1
	LIGHT.HEART*|ed.in*|QUEST|of|NEW.PLEA*|sures|WE.FLY*				4		
	LIGHT.HEART*|ed.in*|QUEST|of|NEW.PLEA*|sures.we*|FLY				4		
	LIGHT.HEART*|ed|IN.QUEST*|of|NEW.PLEA*|sures|WE.FLY*				4		
	LIGHT.HEART*|ed|IN.QUEST*|of|NEW.PLEA*|sures.we*|FLY				4		
	light*|HEART|ed|IN|quest*|OF*|new*|PLEA|sures|WE|fly*					1	4
	light*|HEART|ed|IN|quest*|OF*|new*|PLEA.SURES*|we|FLY					2	3
	LIGHT.HEART*|ed|IN|quest*|OF*|new*|PLEA|sures|WE|fly*				1	1	3
	light*|HEART|ed|IN|quest*|OF*|new*|PLEA|sures|WE.FLY*				1	1	3
	light*|HEART|ed|IN|quest*|OF*|new*|PLEA|sures.we*|FLY				1	1	3
	LIGHT.HEART*|ed|IN|quest*|OF*|new*|PLEA.SURES*|we|FLY				1	2	2
	light*|HEART.ED*|in|QUEST|of|NEW.PLEA*|sures|WE|fly*			1	1	1	2
	light*|HEART.ED*|in|QUEST|of|NEW.PLEA*|sures|WE.FLY*			1	2	1	1
	light*|HEART.ED*|in|QUEST|of|NEW.PLEA*|sures.we*|FLY			1	2	1	1
	LIGHT|heart*|ED*|in|QUEST|of|NEW.PLEA*|sures|WE|fly*		1		1	1	2
	light*|HEART|ed.in*|QUEST|of|NEW|plea*|SURES*|we|FLY		1		1	1	2
	light*|HEART|ed|IN.QUEST*|of|NEW|plea*|SURES*|we|FLY		1		1	1	2
	light*|HEART|ed.in*|QUEST|of|NEW|plea.sures*|WE|fly*		1		1		3
	light*|HEART|ed|IN.QUEST*|of|NEW|plea.sures*|WE|fly*		1		1		3
	LIGHT|heart*|ED*|in|QUEST|of|NEW.PLEA*|sures|WE.FLY*		1		2	1	1
	LIGHT|heart*|ED*|in|QUEST|of|NEW.PLEA*|sures.we*|FLY		1		2	1	1
	LIGHT.HEART*|ed.in*|QUEST|of|NEW|plea*|SURES*|we|FLY		1		2	1	1
	LIGHT.HEART*|ed|IN.QUEST*|of|NEW|plea*|SURES*|we|FLY		1		2	1	1
	light*|HEART.ED*|in|QUEST|of|NEW|plea*|SURES*|we|FLY		1	1		2	2
	light*|HEART.ED*|in|QUEST|of|NEW|plea.sures*|WE|fly*		1	1		1	3
	LIGHT|heart*|ED*|in|QUEST|of|NEW|plea*|SURES*|we|FLY		2			2	2
	LIGHT|heart*|ED*|in|QUEST|of|NEW|plea.sures*|WE|fly*		2			1	3
Till noon brings its cares, many a hope to destroy,	till|NOON.BRINGS*|its|CARES.MA*|ny.a*|HOPE|to.de*|STROY				4		
	till|NOON|brings*|ITS*|cares*|MA.NY*|a|HOPE|to.de*|STROY				1	2	2
	till|NOON|brings*|ITS*|cares*|MA|ny.a*|HOPE|to.de*|STROY				2	1	2
	till|NOON.BRINGS*|its|CARES.MA*|ny|A*|hope*|TO*|de|STROY				2	2	1
	TILL*|noon*|BRINGS|its|CARES.MA*|ny.a*|HOPE|to.de*|STROY				3	1	1
	till|NOON.BRINGS*|its.cares*|MA.NY*|a|HOPE|to.de*|STROY				3	1	1
	till|NOON.BRINGS*|its|CARES.MA*|ny.a*|HOPE|to|DE.STROY*			1	3	1	
	till|NOON.BRINGS*|its|CARES|ma*|NY*|a|HOPE|to.de*|STROY		1		2	1	1
	till|NOON|brings*|ITS*|cares*|MA|ny|A*|hope*|TO*|de|STROY					3	3
	till|NOON|brings*|ITS*|cares*|MA.NY*|a|HOPE|to|DE.STROY*			1		3	2
	till|NOON|brings*|ITS*|cares*|MA|ny.a*|HOPE|to|DE.STROY*			1	1	2	2
	TILL*|noon*|BRINGS|its|CARES.MA*|ny.a*|HOPE|to|DE.STROY*			1	2	2	1
	till|NOON.BRINGS*|its|CARES|ma*|NY*|a|HOPE|to|DE.STROY*		1	1	1	2	1
	till|NOON.BRINGS*|its|CARES.MA*|ny.a*|HOPE|to|DE*|stroy*		1		3	1	1
	TILL*|noon*|BRINGS|its|CARES.MA*|ny.a*|HOPE|to|DE*|stroy*		1		2	2	2
	till|NOON.BRINGS*|its|CARES|ma*|NY*|a|HOPE|to|DE*|stroy*		2		1	2	2
And the thoughts of the past will oft force a deep sigh:	and.the|THOUGHTS|of.the|PAST|will|OFT.FORCE*|a|DEEP|sigh*				1		1
	and.the|THOUGHTS|of.the|PAST|will|OFT.FORCE*|a|DEEP.SIGH*				2		
	and.the|THOUGHTS|of.the|PAST|will|OFT|force*|A*|deep*|SIGH					1	2
Eve steals on apace, and oft finds us in tears,	EVE|steals*|ON*|ap|ACE|and|OFT.FINDS*|us.in|TEARS				1	1	1
	eve*|STEALS|on.ap*|ACE|and|OFT.FINDS*|us.in|TEARS				2		1
	EVE.STEALS*|on.ap*|ACE|and|OFT.FINDS*|us.in|TEARS				3		
	EVE|steals*|ON*|ap|ACE|and|OFT|finds*|US*|in|TEARS					2	2
	eve*|STEALS|on.ap*|ACE|and|OFT|finds*|US*|in|TEARS				1	1	2
	EVE.STEALS*|on.ap*|ACE|and|OFT|finds*|US*|in|TEARS				2	1	1
	EVE.STEALS*|on|AP.ACE*|and|OFT.FINDS*|us.in|TEARS			1	2	1	
	EVE.STEALS*|on|AP.ACE*|and|OFT|finds*|US*|in|TEARS			1	1	2	1
For in friendship, in love, constant changes we see;	for.in|FRIEND|ship|IN|love*|CON|stant|CHA|nges|WE|see*						2
	for.in|FRIEND|ship|IN|love*|CON|stant|CHA|nges|WE.SEE*				1		1
	for.in|FRIEND|ship|IN|love*|CON|stant|CHA|nges.we*|SEE				1		1
	for.in|FRIEND|ship|IN|love*|CON|stant|CHA.NGES*|we|SEE			1		1	1
	for.in|FRIEND|ship.in*|LOVE.CON*|stant|CHA|nges|WE.SEE*				3		
	for.in|FRIEND|ship.in*|LOVE.CON*|stant|CHA|nges.we*|SEE				3		
	for.in|FRIEND.SHIP*|in|LOVE.CON*|stant|CHA|nges|WE.SEE*			1	2	1	
	for.in|FRIEND|ship.in*|LOVE.CON*|stant|CHA.NGES*|we|SEE			1	2	1	
	for.in|FRIEND.SHIP*|in|LOVE.CON*|stant|CHA|nges.we*|SEE			1	2	1	
	for.in|FRIEND.SHIP*|in|LOVE.CON*|stant|CHA.NGES*|we|SEE			2	1	2	
Each wound of the heart deeper grows with our years,	each|WOUND|of.the|HEART|deep.er*|GROWS|with.our|YEARS	2	1	1			1
	each|WOUND|of.the|HEART.DEEP*|er|GROWS|with.our|YEARS				1		
	each|WOUND|of|THE*|heart*|DEEP|er|GROWS|with.our|YEARS					1	1
And the evening of life's seldom tranquil or free.	and.the|EVE|ning.of*|LIFE'S|sel.dom*|TRAN|quil.or*|FREE	2	1	1	2		1
	and.the|EVE|ning|OF*|life's*|SEL|dom|TRAN|quil.or*|FREE				1	1	1
	and.the|EVE|ning.of*|LIFE'S.SEL*|dom|TRAN|quil.or*|FREE				3		
	and.the|EVE|ning|OF*|life's*|SEL|dom|TRAN|quil|OR*|free*					2	2
	and.the|EVE|ning|OF*|life's*|SEL|dom|TRAN.QUIL*|or|FREE			1		2	1
	and.the|EVE|ning.of*|LIFE'S.SEL*|dom|TRAN|quil|OR*|free*				2	1	1
	and.the|EVE|ning.of*|LIFE'S.SEL*|dom|TRAN.QUIL*|or|FREE			1	2	1	
	and.the|EVE.NING*|of|LIFE'S.SEL*|dom|TRAN|quil.or*|FREE			1	2	1	
	and.the|EVE.NING*|of|LIFE'S.SEL*|dom|TRAN|quil|OR*|free*			1	1	2	1
	and.the|EVE.NING*|of|LIFE'S.SEL*|dom|TRAN.QUIL*|or|FREE			2	1	2	
	and.the|EVE|ning.of*|LIFE'S|sel.dom*|TRAN|quil|OR*|free*		1	1	1	1	2
	and.the|EVE|ning.of*|LIFE'S|sel.dom*|TRAN.QUIL*|or|FREE		1	2	1	1	1
To you the chief Grievance and Plague of the Time,	to.you|THE*|chief*|GRIEV|ance.and*|PLAGUE|of.the|TIME				1	1	1
	to|YOU*|the|CHIEF.GRIEV*|ance.and*|PLAGUE|of.the|TIME				2	1	
	TO*|you.the|CHIEF.GRIEV*|ance.and*|PLAGUE|of.the|TIME				2	1	
	to.you|THE*|chief*|GRIEV.ANCE*|and|PLAGUE|of.the|TIME			1		2	1
	to|YOU*|the|CHIEF|griev*|ANCE*|and|PLAGUE|of.the|TIME		1			2	1
	TO*|you.the|CHIEF|griev*|ANCE*|and|PLAGUE|of.the|TIME		1			2	1
	to.you|THE*|chief*|GRIEV|ance|AND*|plague*|OF*|the|TIME					3	2
	to|YOU*|the|CHIEF.GRIEV*|ance|AND*|plague*|OF*|the|TIME				1	3	1
	TO*|you.the|CHIEF.GRIEV*|ance|AND*|plague*|OF*|the|TIME				1	3	1
Heavy Thrashers of Prose, and Tormentors of Rhime.	HE|avy|THRASHERS|of|PROSE|and|TOR.MEN*|tors.of*|RHIME			1	1		
	HE|avy|THRASHERS|of|PROSE|and|TOR.MEN*|tors|OF*|rhime*			1		1	1
	HE|avy|THRASHERS|of|PROSE|and|TOR|men*|TORS*|of|RHIME		1			1	1
	HE|avy|THRASHERS|of|PROSE|and.tor*|MEN|tors.of*|RHIME		1		2		1
You Play-Wights and Authors, with all their Attendance,	you|PLAY.WIGHTS*|and|AU|thors|WITH*|all|THEIR*|at|TEN|dance				1	2	
	you|PLAY.WIGHTS*|and|AU|thors.with*|ALL|their.at*|TEN|dance				3		
	YOU*|play*|WIGHTS|and|AU|thors|WITH*|all|THEIR*|at|TEN|dance					3	1
	YOU*|play*|WIGHTS|and|AU|thors.with*|ALL|their.at*|TEN|dance				2	1	1
	you|PLAY.WIGHTS*|and|AU|thors.with*|ALL|their|AT.TEN*|dance			1	2	1	
	you|PLAY.WIGHTS*|and|AU.THORS*|with|ALL|their.at*|TEN|dance			1	2	1	
The Locusts of Egypt were a civiller Vengeance.	the|LO|custs.of*|EGY|pt|WERE*|a|CIVILLER.VEN*|geance				2	1	
	the|LO.CUSTS*|of|EGY|pt|WERE*|a|CIVILLER.VEN*|geance			1	1	2	
	the|LO|custs.of*|EGY.PT*|were|A*|civiller*|VEN|geance			1	1	2	1
	the|LO|custs.of*|EGY|pt|WERE*|a|CIVILLER|ven*|GEANCE*		1		1	2	1
	the|LO|custs|OF*|egy*|PT*|were.a|CIVILLER.VEN*|geance		1		1	2	1
	the|LO|custs.of*|EGY|pt|WERE*|a|CIVILLER|ven.geance*		1	1	1	1	1
	the|LO.CUSTS*|of|EGY.PT*|were|A*|civiller*|VEN|geance			2		3	1
	the|LO|custs|OF*|egy*|PT*|were|A*|civiller*|VEN|geance		1			3	2
	the|LO.CUSTS*|of|EGY|pt|WERE*|a|CIVILLER|ven*|GEANCE*		1	1		3	1
	the|LO.CUSTS*|of|EGY|pt|WERE*|a|CIVILLER|ven.geance*		1	2		2	1
	the|LO|custs|OF*|egy*|PT*|were.a|CIVILLER|ven.geance*		2	1		2	2
From him who each Action o'th' Publick misconstrues,	from.him|WHO|each|AC|tion|O'TH|publick*|MISCONSTRUES						1
To the Makers of Devils, and Sermons, and Monsters;	to.the|MAK|ers.of*|DEV|ils.and*|SER|mons.and*|MON|sters	1			3		
	to.the|MAK|ers.of*|DEV.ILS*|and|SER|mons.and*|MON|sters				2	1	
	to.the|MAK|ers.of*|DEV.ILS*|and|SER.MONS*|and|MON|sters			1	1	2	
	to.the|MAK.ERS*|of|DEV.ILS*|and|SER|mons.and*|MON|sters			1	1	2	
	to.the|MAK|ers.of*|DEV|ils.and*|SER.MONS*|and|MON|sters			1	2	1	
	to.the|MAK.ERS*|of|DEV|ils.and*|SER|mons.and*|MON|sters			1	2	1	
	to.the|MAK.ERS*|of|DEV.ILS*|and|SER.MONS*|and|MON|sters			2		3	
	to.the|MAK.ERS*|of|DEV|ils.and*|SER.MONS*|and|MON|sters			2	1	2	
	to.the|MAK|ers|OF*|dev*|ILS*|and|SER|mons.and*|MON|sters		1		1	2	1
	to.the|MAK|ers.of*|DEV|ils|AND*|ser*|MONS*|and|MON|sters		1		1	2	1
	to.the|MAK|ers|OF*|dev*|ILS*|and|SER.MONS*|and|MON|sters		1	1		3	1
	to.the|MAK.ERS*|of|DEV|ils|AND*|ser*|MONS*|and|MON|sters		1	1		3	1
	to.the|MAK|ers|OF*|dev.ils*|AND*|ser*|MONS*|and|MON|sters		2			3	2
Than whom there's no Vulture discover can further,	than|WHOM|there's|NO.VUL*|ture.dis*|COV.ER*|can|FUR|ther				2	1	
	than|WHOM|there's|NO.VUL*|ture.dis*|COV|er.can*|FUR|ther				3		
	than.whom|THERE'S*|no*|VUL|ture.dis*|COV.ER*|can|FUR|ther				1	2	1
	than|WHOM|there's|NO|vul*|TURE*|dis|COV.ER*|can|FUR|ther		1			2	1
	than|WHOM|there's|NO|vul*|TURE*|dis|COV|er.can*|FUR|ther		1		1	1	1
	than.whom|THERE'S*|no*|VUL.TURE*|dis|COV.ER*|can|FUR|ther			1		3	1
	than.whom|THERE'S*|no*|VUL.TURE*|dis|COV|er.can*|FUR|ther			1	1	2	1
By Instinct, the Approach of Dire Battle and Murder.	by|IN|stinct|THE*|ap|PROACH|of|DI|re|BAT.TLE*|and|MUR|der					2	
	by|IN|stinct|THE*|ap|PROACH|of|DI|re|BAT|tle.and*|MUR|der				1	1	
To each politick Stroker, or hungry Backbiter,	to|EACH|politick*|STROKER|or|HUN|gry|BACKBITER						1
	to.each|POLITICK.STROKER*|or|HUN|gry|BACKBITER				1		
From the Bawdy Song-Scribler, to the Godly Book-Writer:	from.the|BAW|dy|SONG.SCRIBLER*|to.the|GOD|ly|BOOK.WRIT*|er				2		
	from.the|BAW|dy|SONG|scribler*|TO*|the|GOD|ly|BOOK.WRIT*|er				1	1	1
	from.the|BAW|dy|SONG.SCRIBLER*|to.the|GOD.LY*|book*|WRIT|er			1	1	1	1
	from.the|BAW|dy|SONG.SCRIBLER*|to.the|GOD|ly|BOOK|writ*|ER*		1		1	1	1
	from.the|BAW|dy|SONG.SCRIBLER*|to.the|GOD|ly|BOOK|writ.er*		1	1	1		1
	from.the|BAW|dy|SONG|scribler*|TO*|the|GOD.LY*|book*|WRIT|er			1		2	2
	from.the|BAW|dy|SONG|scribler*|TO*|the|GOD|ly|BOOK|writ*|ER*		1			2	2
	from.the|BAW|dy|SONG|scribler*|TO*|the|GOD|ly|BOOK|writ.er*		1	1		1	2
Be their Works or their Fortunes, or lucky, or scurvy;	BE|their|WORKS|or.their|FOR|tunes.or*|LU.CKY*|or|SCURVY				1	1	
	be.their|WORKS|or.their|FOR|tunes.or*|LU.CKY*|or|SCURVY				1	1	
	BE|their|WORKS|or.their|FOR|tunes.or*|LU|cky.or*|SCURVY				2		
	be.their|WORKS|or.their|FOR|tunes.or*|LU|cky.or*|SCURVY				2		
	BE|their|WORKS|or.their|FOR.TUNES*|or|LU.CKY*|or|SCURVY			1		2	
	be.their|WORKS|or.their|FOR.TUNES*|or|LU.CKY*|or|SCURVY			1		2	
	BE|their|WORKS|or.their|FOR|tunes|OR*|lu*|CKY*|or|SCURVY		1			2	1
	be.their|WORKS|or.their|FOR|tunes|OR*|lu*|CKY*|or|SCURVY		1			2	1
From great Mr. Bays down to little Mr. Dy.	from|GREAT|mr.*|BAYS|down.to|LIT|tle|MR||DY	1	1				1
	from|GREAT.MR*||BAYS|down.to|LIT|tle|MR||DY				1		
	FROM*|great*|MR||BAYS|down.to|LIT|tle|MR||DY					1	1
To Satyrical Dick, who has us'd us so kindly,	to|SATYRICAL|dick*|WHO|has|US'D|us.so|KIND|ly						1
	to|SATYRICAL.DICK*|who.has|US'D|us.so|KIND|ly				1		
Though I hope, Mr. Author, to ben't far behind you:	though|I|hope*|MR||AU|thor|TO*|ben't*|FAR|be|HIND|you					1	2
	though.i|HOPE.MR*||AU|thor|TO*|ben't*|FAR|be|HIND|you				1	1	1
	though|I|hope*|MR||AU|thor.to*|BEN'T.FAR*|be|HIND|you				2		1
	though.i|HOPE.MR*||AU|thor.to*|BEN'T.FAR*|be|HIND|you				3		
	though.i|HOPE.MR*||AU.THOR*|to|BEN'T.FAR*|be|HIND|you			1	2	1	
And 'twere best that your Back you'd prepare for a humming,	and|TWE|re|BEST|that.your|BACK|you'd.pre*|PARE|for.a|HUM|ming				1		
	and|TWE|re|BEST|that.your|BACK|you'd|PRE.PARE*|for.a|HUM|ming			1		1	
	and|TWE|re|BEST|that|YOUR*|back*|YOU'D*|pre|PARE|for.a|HUM|ming					2	1
Oh, say not, my love, with that mortified air,	oh*|SAY|not.my|LOVE|with.that|MOR|ti.fied*|AIR [*Bounded]	2	1	1			2
	OH|say*|NOT|my|LOVE|with.that|MOR|ti|FIED|air*						2
	oh*|SAY|not.my|LOVE|with.that|MOR|ti|FIED|air*						2
	OH|say*|NOT|my|LOVE|with.that|MOR|ti|FIED.AIR*				1		1
	OH.SAY*|not.my|LOVE|with.that|MOR|ti|FIED|air*				1		1
	oh*|SAY|not.my|LOVE|with.that|MOR|ti|FIED.AIR*				1		1
	OH.SAY*|not.my|LOVE|with.that|MOR|ti|FIED.AIR*				2		
That your spring-time of pleasure is flown,	THAT|your|SPRING.TIME*|of|PLEA|sure|IS|flown*				1		1
	THAT|your|SPRING.TIME*|of|PLEA.SURE*|is|FLOWN				1	1	
